,ATL,BKN,BOS,CHA,CHI,CLE,DAL,DEN,DET,GSW,HOU,IND,LAC,LAL,MEM,MIA,MIL,MIN,NOP,NYK,OKC,ORL,PHI,PHX,POR,SAS,SAC,TOR,UTA,WAS
ATL,0,746,936,227,589,555,720,1210,621,2123,701,426,1933,1933,336,606,669,908,420,748,755,402,663,1588,2168,878,2083,734,1580,543
BKN,746,0,190,531,715,405,1372,1630,498,2557,1418,645,2449,2449,954,1090,735,1019,1164,5,1326,938,83,2141,2441,1579,2501,344,1970,203
BOS,936,190,0,721,851,549,1549,1766,620,2682,1604,805,2592,2592,1135,1257,856,1121,1354,188,1493,1116,273,2295,2532,1762,2624,429,2094,394
CHA,227,531,721,0,589,436,929,1357,532,2286,926,428,2117,2117,520,654,659,939,645,533,939,463,448,1779,2285,1101,2241,587,1724,330
CHI,589,715,851,589,0,310,803,917,233,1842,941,166,1742,1742,483,1191,81,353,829,713,691,987,667,1450,1752,1050,1787,438,1255,597
CLE,555,405,549,436,310,0,1025,1225,115,2152,1115,263,2047,2047,631,1089,336,630,919,404,950,895,359,1746,2049,1254,2096,189,1565,305
DAL,720,1372,1549,929,803,1025,0,662,1006,1468,227,763,1238,1238,420,1111,857,863,442,1372,189,962,1296,883,1630,252,1439,1203,998,1183
DEN,1210,1630,1766,1357,917,1225,662,0,1146,935,880,1000,831,831,879,1726,913,699,1079,1628,506,1550,1576,585,980,805,886,1344,370,1491
DET,621,498,620,532,233,115,1006,1146,0,2065,1118,253,1973,1973,637,1182,238,524,953,495,912,984,461,1683,1946,1245,2008,205,1476,418
GSW,2123,2557,2682,2286,1842,2152,1468,935,2065,0,1631,1934,338,338,1787,2578,1827,1571,1909,2555,1374,2425,2506,642,538,1478,72,2254,589,2425
HOU,701,1418,1604,926,941,1115,227,880,1118,1631,0,866,1373,1373,484,967,1006,1058,319,1419,414,847,1338,1015,1834,186,1609,1301,1201,1219
IND,426,645,805,428,166,263,763,1000,253,1934,866,0,1807,1807,384,1026,244,511,708,644,688,822,582,1496,1881,997,1882,440,1354,492
LAC,1933,2449,2592,2117,1742,2047,1238,831,1973,338,1373,1807,0,0,1601,2337,1742,1522,1670,2448,1180,2199,2390,358,827,1206,366,2173,581,2296
LAL,1933,2449,2592,2117,1742,2047,1238,831,1973,338,1373,1807,0,0,1601,2337,1742,1522,1670,2448,1180,2199,2390,358,827,1206,366,2173,581,2296
MEM,336,954,1135,520,483,631,420,879,637,1787,484,384,1601,1601,0,872,558,701,353,955,421,683,878,1260,1846,629,1747,817,1248,763
MIA,606,1090,1257,654,1191,1089,1111,1726,1182,2578,967,1026,2337,2337,872,0,1270,1513,670,1094,1225,204,1018,1978,2704,1144,2549,1235,2088,925
MIL,669,735,856,659,81,336,857,913,238,1827,1006,244,1742,1742,558,1270,0,298,907,732,733,1066,694,1462,1714,1106,1770,431,1239,636
MIN,908,1019,1121,939,353,630,863,699,524,1571,1058,511,1522,1522,701,1513,298,0,1048,1016,694,1310,985,1278,1422,1111,1510,692,984,933
NOP,420,1164,1354,645,829,919,442,1079,953,1909,319,708,1670,1670,353,670,907,1048,0,1166,573,532,1081,1313,2057,505,1881,1108,1431,961
NYK,748,5,188,533,713,404,1372,1628,495,2555,1419,644,2448,2448,955,1094,732,1016,1166,0,1325,942,85,2140,2438,1580,2500,340,1968,205
OKC,755,1326,1493,939,691,950,189,506,912,1374,414,688,1180,1180,421,1225,733,694,573,1325,0,1057,1256,840,1485,421,1338,1116,862,1150
ORL,402,938,1116,463,987,895,962,1550,984,2425,847,822,2199,2199,683,204,1066,1310,532,942,1057,0,861,1842,2525,1032,2392,1049,1916,758
PHI,663,83,273,448,667,359,1296,1576,461,2506,1338,582,2390,2390,878,1018,694,985,1081,85,1256,861,0,2077,2406,1501,2452,337,1921,121
PHX,1588,2141,2295,1779,1450,1746,883,585,1683,642,1015,1496,358,358,1260,1978,1462,1278,1313,2140,840,1842,2077,0,1006,850,638,1887,506,1978
POR,2168,2441,2532,2285,1752,2049,1630,980,1946,538,1834,1881,827,827,1846,2704,1714,1422,2057,2438,1485,2525,2406,1006,0,1721,479,2108,634,2348
SAS,878,1579,1762,1101,1050,1254,252,805,1245,1478,186,997,1206,1206,629,1144,1106,1111,505,1580,421,1032,1501,850,1721,0,1461,1437,1090,1383
SAC,2083,2501,2624,2241,1787,2096,1439,886,2008,72,1609,1882,366,366,1747,2549,1770,1510,1881,2500,1338,2392,2452,638,479,1461,0,2195,531,2373
TOR,734,344,429,587,438,189,1203,1344,205,2254,1301,440,2173,2173,817,1235,431,692,1108,340,1116,1049,337,1887,2108,1437,2195,0,1665,350
UTA,1580,1970,2094,1724,1255,1565,998,370,1476,589,1201,1354,581,581,1248,2088,1239,984,1431,1968,862,1916,1921,506,634,1090,531,1665,0,1843
WAS,543,203,394,330,597,305,1183,1491,418,2425,1219,492,2296,2296,763,925,636,933,961,205,1150,758,121,1978,2348,1383,2373,350,1843,0
