team,arena,lat,long
ATL,Philips Arena,33.7571,-84.39717
BKN,Barclays Center,40.68327,-73.97619
BOS,TD Garden,42.36635,-71.06193
CHA,Time Warner Cable Arena,35.22506,-80.83933
CHI,United Center,41.88062,-87.67463
CLE,Quicken Loans Arena,41.49694,-81.68929
DAL,American Airlines Center,32.7904,-96.81048
DEN,Pepsi Center,39.74831,-105.00799
DET,The Palace of Auburn Hills,42.69695,-83.24573
GS,Oracle Arena,37.75162,-122.20064
HOU,Toyota Center,29.75082,-95.36215
IND,Bankers Life Fieldhouse,39.76393,-86.15554
LAC,Staples Center,34.03,-118.2673
LAL,Staples Center,34.05,-118.266
LV,MGM Grand Garden Arena,36.1012,-115.17243
MEM,FedExForum,35.1382,-90.05045
MIA,American Airlines Arena,25.781389,-80.188056
MIL,BMO Harris Bradley Center,43.04295,-87.91608
MIN,Target Center,44.97965,-93.27617
NO,New Orleans Arena,30.03016,-90.05048
NY,Madison Square Garden,40.75069,-73.99353
OKC,Chesapeake Energy Arena,35.463333,-97.515
ORL,Amway Center,28.539167,-81.383611
PHI,Wells Fargo Center,39.90106,-75.17194
PHO,US Airways Center,33.445833,-112.071389
POR,Rose Garden,45.53272,-122.66728
SA,AT&T Center,29.42702,-98.43732
SAC,Power Balance Pavilion,38.649167,-121.518056
SEA,Seattle New Arena in SoDo,47.59136,-122.33212
TOR,Air Canada Center,43.64318,-79.37996
UTAH,EnergySolutions Arena,40.76774,-111.90113
WAS,Verizon Center,38.89815,-77.02059
